epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.6514,1.29521,1.38614,0.86275,0.79733,0.45608,0.50491,0.29464,1.11701,0.65633,0.82816,0.000475394,0.000475394,0.000475394
2,112.594,1.12957,0.72216,0.8404,0.8134,0.48327,0.55193,0.32606,1.09549,0.59617,0.82502,0.000932883,0.000932883,0.000932883
3,168.242,1.08873,0.61969,0.83667,0.81616,0.49192,0.56674,0.34152,1.01879,0.55586,0.81618,0.00137151,0.00137151,0.00137151
4,224.747,1.06322,0.5714,0.83336,0.80924,0.49006,0.56489,0.34591,0.9972,0.51763,0.81634,0.00134412,0.00134412,0.00134412
5,280.64,1.04013,0.55086,0.82924,0.82563,0.48928,0.58655,0.36791,0.99228,0.50961,0.81523,0.00131582,0.00131582,0.00131582
6,336.593,1.01028,0.52848,0.82696,0.82046,0.51003,0.59381,0.37455,0.93445,0.48593,0.80897,0.00128753,0.00128753,0.00128753
7,392.775,0.99654,0.51624,0.82436,0.81818,0.51706,0.6046,0.38186,0.93163,0.47516,0.81006,0.00125923,0.00125923,0.00125923
8,449.089,0.97807,0.50162,0.82342,0.8238,0.52687,0.60976,0.38696,0.90472,0.46067,0.80672,0.00123094,0.00123094,0.00123094
9,504.458,0.967,0.49361,0.82191,0.82418,0.5258,0.61343,0.39325,0.8973,0.4562,0.80467,0.00120265,0.00120265,0.00120265
10,560.081,0.95664,0.48656,0.81909,0.83091,0.52814,0.60934,0.38771,0.89109,0.45486,0.80593,0.00117435,0.00117435,0.00117435
11,615.474,0.94376,0.47767,0.81792,0.83129,0.53521,0.62725,0.40407,0.86867,0.43704,0.80356,0.00114606,0.00114606,0.00114606
12,670.97,0.9405,0.4747,0.81835,0.83461,0.53343,0.62881,0.41029,0.86857,0.43838,0.80399,0.00111776,0.00111776,0.00111776
13,726.318,0.91757,0.46396,0.81672,0.8332,0.54134,0.62787,0.40693,0.85667,0.42955,0.80137,0.00108947,0.00108947,0.00108947
14,782.229,0.9137,0.45851,0.8145,0.83734,0.54538,0.63578,0.41475,0.85199,0.42922,0.801,0.00106118,0.00106118,0.00106118
15,837.344,0.91115,0.45613,0.81438,0.83489,0.54271,0.6329,0.41122,0.84753,0.42391,0.79917,0.00103288,0.00103288,0.00103288
16,892.861,0.90655,0.45559,0.81519,0.84443,0.53596,0.63161,0.4104,0.85035,0.42477,0.80024,0.00100459,0.00100459,0.00100459
17,948.208,0.894,0.44874,0.81291,0.8421,0.54642,0.63715,0.41618,0.84248,0.41691,0.79933,0.000976293,0.000976293,0.000976293
18,1003.48,0.89725,0.44727,0.81396,0.84068,0.54925,0.64592,0.42392,0.83314,0.40831,0.79807,0.000947999,0.000947999,0.000947999
19,1058.64,0.8906,0.44251,0.81146,0.84983,0.54936,0.64723,0.42559,0.82806,0.40758,0.79707,0.000919704,0.000919704,0.000919704
20,1114.14,0.88083,0.43934,0.81029,0.84921,0.54381,0.6403,0.42091,0.8288,0.4064,0.79667,0.00089141,0.00089141,0.00089141
21,1169.86,0.87075,0.43229,0.80891,0.84686,0.5508,0.65231,0.4331,0.81321,0.40061,0.79635,0.000863116,0.000863116,0.000863116
22,1225.26,0.87472,0.43355,0.80838,0.84665,0.54595,0.64616,0.42698,0.81392,0.40059,0.79472,0.000834822,0.000834822,0.000834822
23,1280.45,0.86213,0.4277,0.80859,0.84798,0.55456,0.65139,0.43191,0.81043,0.39636,0.7946,0.000806528,0.000806528,0.000806528
24,1336.2,0.86476,0.42804,0.80665,0.85411,0.55373,0.65356,0.43389,0.80867,0.39245,0.79433,0.000778233,0.000778233,0.000778233
